accommodates,bedrooms,beds,bathrooms,rating,neighbourhood,room_type,bath_type,price
8,3.0,4.0,2.0,4.95,Adams,Entire home/apt,standard,336.0
3,0.0,2.0,1.0,4.78,South Delridge,Entire home/apt,standard,70.0
4,2.0,2.0,2.5,4.9,North Delridge,Entire home/apt,standard,246.0
5,2.0,2.0,1.0,4.92,South Beacon Hill,Entire home/apt,standard,146.0
12,6.0,6.0,3.0,4.91,Mid-Beacon Hill,Entire home/apt,standard,163.0
7,3.0,4.0,2.0,4.0,North College Park,Entire home/apt,standard,148.0
4,1.0,2.0,1.0,4.63,North Beacon Hill,Entire home/apt,standard,92.0
4,0.0,2.0,1.0,4.88,West Queen Anne,Entire home/apt,standard,205.0
5,1.0,1.0,1.0,4.38,West Woodland,Entire home/apt,standard,154.0
2,1.0,1.0,1.0,4.95,Minor,Private room,private,45.0
4,1.0,2.0,1.0,4.25,North Beacon Hill,Entire home/apt,standard,85.0
4,1.0,2.0,1.0,5.0,North Beacon Hill,Entire home/apt,standard,101.0
6,2.0,3.0,2.0,4.96,Broadway,Entire home/apt,standard,145.0
4,2.0,2.0,1.5,5.0,East Queen Anne,Entire home/apt,standard,203.0
4,2.0,2.0,2.0,4.96,Broadway,Entire home/apt,standard,146.0
4,2.0,2.0,2.5,4.9,Sunset Hill,Entire home/apt,standard,230.0
3,1.0,2.0,1.0,4.97,Greenwood,Entire home/apt,standard,130.0
2,0.0,2.0,1.0,5.0,University District,Entire home/apt,standard,40.0
2,0.0,1.0,1.0,4.91,University District,Entire home/apt,standard,80.0
2,1.0,1.0,1.0,4.53,International District,Private room,shared,140.0
2,1.0,1.0,1.0,4.42,International District,Private room,shared,134.0
4,0.0,2.0,1.0,5.0,North Beacon Hill,Entire home/apt,standard,83.0
6,3.0,4.0,2.5,5.0,South Beacon Hill,Entire home/apt,standard,150.0
2,0.0,1.0,1.0,3.0,Adams,Entire home/apt,standard,79.0
5,2.0,3.0,1.0,4.84,North Beach/Blue Ridge,Entire home/apt,standard,100.0
12,6.0,7.0,2.5,4.69,Olympic Hills,Entire home/apt,standard,261.0
2,1.0,1.0,1.0,4.75,Haller Lake,Private room,private,45.0
